pga_stat_name,pga_stat_id,pga_tourn_id,pga_season_id,RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,%,GREENS_HIT,TOTAL_HOLES,RELATIVE_TO_PAR
GIR_Percentage_-_75-100_yards,078,t060,2017,63,62,Peter Malnati,91,82.56,71,86,-0.35
GIR_Percentage_-_75-100_yards,078,t060,2017,64,64,Ryan Moore,82,82.46,47,57,-0.30
GIR_Percentage_-_75-100_yards,078,t060,2017,65,65,Rod Pampling,71,82.35,42,51,-0.24
GIR_Percentage_-_75-100_yards,078,t060,2017,66,T66,Phil Mickelson,85,82.14,69,84,-0.46
GIR_Percentage_-_75-100_yards,078,t060,2017,67,T70,Tony Finau,106,82.05,64,78,-0.27
GIR_Percentage_-_75-100_yards,078,t060,2017,68,68,Boo Weekley,75,81.97,50,61,-0.24
GIR_Percentage_-_75-100_yards,078,t060,2017,69,69,Brendan Steele,89,81.94,59,72,-0.24
GIR_Percentage_-_75-100_yards,078,t060,2017,70,88,Charley Hoffman,112,81.93,68,83,-0.31
GIR_Percentage_-_75-100_yards,078,t060,2017,T71,T70,Retief Goosen,52,81.82,27,33,-0.22
GIR_Percentage_-_75-100_yards,078,t060,2017,T71,T70,Zach Johnson,81,81.82,63,77,-0.35
GIR_Percentage_-_75-100_yards,078,t060,2017,T71,T70,David Hearn,93,81.82,45,55,-0.22
GIR_Percentage_-_75-100_yards,078,t060,2017,T71,T77,Kevin Kisner,105,81.82,63,77,-0.37
GIR_Percentage_-_75-100_yards,078,t060,2017,T71,T70,Brad Fritsch,56,81.82,27,33,-0.44
GIR_Percentage_-_75-100_yards,078,t060,2017,T71,T70,C.T. Pan,88,81.82,45,55,-0.27
GIR_Percentage_-_75-100_yards,078,t060,2017,T71,T70,Ryo Ishikawa,56,81.82,27,33,-0.30
GIR_Percentage_-_75-100_yards,078,t060,2017,78,79,Robert Garrigus,78,81.48,44,54,-0.30
GIR_Percentage_-_75-100_yards,078,t060,2017,T79,T81,Søren Kjeldsen,58,81.25,26,32,-0.42
GIR_Percentage_-_75-100_yards,078,t060,2017,T79,T81,Seamus Power,86,81.25,52,64,-0.37
GIR_Percentage_-_75-100_yards,078,t060,2017,T79,T81,Whee Kim,74,81.25,52,64,-0.27
GIR_Percentage_-_75-100_yards,078,t060,2017,82,84,Chez Reavie,98,81.18,69,85,-0.26
GIR_Percentage_-_75-100_yards,078,t060,2017,83,85,Kyle Stanley,104,81.08,60,74,-0.33
GIR_Percentage_-_75-100_yards,078,t060,2017,84,86,Mackenzie Hughes,106,81.05,77,95,-0.32
GIR_Percentage_-_75-100_yards,078,t060,2017,85,87,Scott Piercy,70,81.03,47,58,-0.34
GIR_Percentage_-_75-100_yards,078,t060,2017,T86,T89,Branden Grace,70,80.95,51,63,-0.29
GIR_Percentage_-_75-100_yards,078,t060,2017,T86,T102,Dustin Johnson,77,80.95,51,63,-0.31
GIR_Percentage_-_75-100_yards,078,t060,2017,T86,T89,Emiliano Grillo,90,80.95,51,63,-0.25
GIR_Percentage_-_75-100_yards,078,t060,2017,89,91,Patrick Rodgers,76,80.82,59,73,-0.22
GIR_Percentage_-_75-100_yards,078,t060,2017,90,92,Aaron Baddeley,61,80.77,42,52,-0.26
GIR_Percentage_-_75-100_yards,078,t060,2017,91,93,Jim Herman,77,80.70,46,57,-0.30
GIR_Percentage_-_75-100_yards,078,t060,2017,T92,T99,Russell Henley,99,80.56,58,72,-0.41
GIR_Percentage_-_75-100_yards,078,t060,2017,T92,94,Robert Streb,98,80.56,58,72,-0.33
GIR_Percentage_-_75-100_yards,078,t060,2017,94,95,Tyrone Van Aswegen,105,80.52,62,77,-0.34
GIR_Percentage_-_75-100_yards,078,t060,2017,95,96,Rafa Cabrera Bello,63,80.49,33,41,-0.39
GIR_Percentage_-_75-100_yards,078,t060,2017,96,98,J.T. Poston,95,80.30,53,66,-0.28
GIR_Percentage_-_75-100_yards,078,t060,2017,97,T99,Hudson Swafford,94,80.28,57,71,-0.37
GIR_Percentage_-_75-100_yards,078,t060,2017,98,101,Blayne Barber,77,80.23,69,86,-0.36
GIR_Percentage_-_75-100_yards,078,t060,2017,99,T102,Kevin Tway,96,80.00,68,85,-0.24
GIR_Percentage_-_75-100_yards,078,t060,2017,100,104,Brian Stuard,93,79.66,47,59,-0.36
GIR_Percentage_-_75-100_yards,078,t060,2017,101,105,Rory Sabbatini,71,79.63,43,54,-0.21
GIR_Percentage_-_75-100_yards,078,t060,2017,102,106,Charl Schwartzel,63,79.41,27,34,-0.33
GIR_Percentage_-_75-100_yards,078,t060,2017,103,107,Bill Haas,92,79.37,50,63,-0.28
GIR_Percentage_-_75-100_yards,078,t060,2017,104,108,Johnson Wagner,71,79.31,46,58,-0.39
GIR_Percentage_-_75-100_yards,078,t060,2017,105,109,Keegan Bradley,104,79.27,65,82,-0.34
GIR_Percentage_-_75-100_yards,078,t060,2017,T106,T110,Sean O'Hair,84,79.22,61,77,-0.34
GIR_Percentage_-_75-100_yards,078,t060,2017,T106,T110,Kyle Reifers,96,79.22,61,77,-0.28
GIR_Percentage_-_75-100_yards,078,t060,2017,T108,T112,Graeme McDowell,56,79.17,38,48,-0.45
GIR_Percentage_-_75-100_yards,078,t060,2017,T108,T112,Sam Saunders,76,79.17,38,48,-0.53
GIR_Percentage_-_75-100_yards,078,t060,2017,110,114,Harold Varner III,101,79.12,72,91,-0.31
GIR_Percentage_-_75-100_yards,078,t060,2017,111,115,Shawn Stefani,72,79.03,49,62,-0.29
GIR_Percentage_-_75-100_yards,078,t060,2017,T112,T116,Carl Pettersson,63,78.95,30,38,-0.37
GIR_Percentage_-_75-100_yards,078,t060,2017,T112,T116,Daniel Summerhays,100,78.95,45,57,-0.27
GIR_Percentage_-_75-100_yards,078,t060,2017,T112,T116,Billy Horschel,88,78.95,45,57,-0.20
GIR_Percentage_-_75-100_yards,078,t060,2017,T115,T119,Nick Taylor,97,78.82,67,85,-0.37
GIR_Percentage_-_75-100_yards,078,t060,2017,T115,T119,Morgan Hoffmann,92,78.82,67,85,-0.36
GIR_Percentage_-_75-100_yards,078,t060,2017,T117,T121,Russell Knox,75,78.72,37,47,-0.46
GIR_Percentage_-_75-100_yards,078,t060,2017,T117,T121,Byeong Hun An,77,78.72,37,47,-0.24
GIR_Percentage_-_75-100_yards,078,t060,2017,119,123,Cameron Smith,86,78.67,59,75,-0.44
GIR_Percentage_-_75-100_yards,078,t060,2017,T120,T124,Seung-Yul Noh,91,78.57,55,70,-0.22
GIR_Percentage_-_75-100_yards,078,t060,2017,T120,T135,Xander Schauffele,96,78.57,55,70,-0.44
GIR_Percentage_-_75-100_yards,078,t060,2017,T122,T126,Stewart Cink,93,78.43,80,102,-0.30
GIR_Percentage_-_75-100_yards,078,t060,2017,T122,T126,Camilo Villegas,76,78.43,40,51,-0.40
GIR_Percentage_-_75-100_yards,078,t060,2017,124,128,Michael Thompson,60,78.38,29,37,-0.17
GIR_Percentage_-_75-100_yards,078,t060,2017,T125,154,Jason Day,71,78.13,50,64,-0.38
GIR_Percentage_-_75-100_yards,078,t060,2017,T125,129,Harris English,84,78.13,50,64,-0.24
GIR_Percentage_-_75-100_yards,078,t060,2017,127,130,Dominic Bozzelli,69,78.00,39,50,-0.36
